Event start date;Actor specified;Actor specified 1;Actor specified 2;Actor 1;Actor 2;Oblast number;Year
01.01.2012;Svoboda, KUN, Autonomous society Hrusha;Svoboda;KUN;823;454;10;2012
01.01.2012;Svoboda, KUN, Autonomous society Hrusha;Svoboda;Autonomous society Hrusha;823;73;10;2012
01.01.2012;Svoboda, KUN, Autonomous society Hrusha;KUN;Autonomous society Hrusha;454;73;10;2012
05.01.2012;Direct Action, FRI, Left Opposition;Direct Action;FRI;225;337;10;2012
05.01.2012;Direct Action, FRI, Left Opposition;Direct Action;Left Opposition;225;477;10;2012
05.01.2012;Direct Action, FRI, Left Opposition;FRI;Left Opposition;337;477;10;2012
06.01.2012;BYT, UPC (KP);BYT;UPC (KP);103;973;20;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;Svoboda;FoC;823;290;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;Svoboda;UNP;823;969;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;Svoboda;UDAR;823;873;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;Svoboda;BYT;823;103;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;FoC;UNP;290;969;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;FoC;UDAR;290;873;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;FoC;BYT;290;103;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;UNP;UDAR;969;873;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;UNP;BYT;969;103;11;2012
11.01.2012;Svoboda, FoC, UNP, UDAR, BYT;UDAR;BYT;873;103;11;2012
13.01.2012;Svoboda, Civic Position;Svoboda;Civic Position;823;162;5;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;BYT;NRU;103;572;20;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;BYT;Green Planet;103;366;20;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;BYT;Resonance;103;686;20;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;NRU;Green Planet;572;366;20;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;NRU;Resonance;572;686;20;2012
13.01.2012;BYT, NRU, Green Planet, Resonance;Green Planet;Resonance;366;686;20;2012
16.01.2012;Svoboda, Committee of Voters, Council of Civic Organizations;Svoboda;Committee of Voters;823;175;23;2012
16.01.2012;Svoboda, Committee of Voters, Council of Civic Organizations;Svoboda;Council of Civic Organizations;823;204;23;2012
16.01.2012;Svoboda, Committee of Voters, Council of Civic Organizations;Committee of Voters;Council of Civic Organizations;175;204;23;2012
17.01.2012;Lugantsi, People Front of Luhansk;Lugantsi;People Front of Luhansk;498;619;12;2012
18.01.2012;Crimean Russian community, Russian Unity party;Crimean Russian community;Russian Unity party;216;708;1;2012
18.01.2012;CPU, Slavic Guard, Cossacks;CPU;Slavic Guard;208;745;8;2012
18.01.2012;CPU, Slavic Guard, Cossacks;CPU;Cossacks;208;199;8;2012
